KBID	Title	AlternateTitle	PackageName	URL	ProxiedURL	Publisher	Edition	Author	Editor	Illustrator	PrintISSN	OnlineISSN	PrintISBN	OnlineISBN	DOI	PeerReviewed	ManagedCoverageBegin	ManagedCoverageEnd	CustomCoverageBegin	CustomCoverageEnd	CoverageStatement	Embargo	CustomEmbargo	Description	Subject	ResourceType	PackageContentType	CreateCustom	HideOnPublicationFinder	Delete	OrderedThroughEBSCO	IsCustom	UserDefinedField1	UserDefinedField2	UserDefinedField3	UserDefinedField4	UserDefinedField5	PackageType	AllowEbscoToAddNewTitles	
345432	Chemical Physics of Solids and Their Surfaces: Volume 8	Chemical Physics of Solids and Their Surfaces Volume 8|Chemical Physics of Solids and Their Surfaces: Volume 8	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847555816	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847555816	Royal Society of Chemistry		J M Thomas|M W Roberts					978-0-85186-740-3	978-1-84755-581-6		N	1980-01-01	1980-12-31							REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / Physical & Theoretical|TECHNOLOGY & ENGINEERING / Materials Science / General	Book	EBook	N	N	N	N	N						Complete	Y	
345433	Chemical Thermodynamics for Industry	Chemical Thermodynamics for Industry	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	https://dx.doi.org/10.1039/9781847550415	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/9781847550415	Royal Society of Chemistry		Trevor M Letcher					978-0-85404-591-4	978-1-84755-041-5		N	2004-01-01	2004-12-31							Engineering|SCIENCE / Chemistry / General|SCIENCE / Chemistry / Industrial & Technical|SCIENCE / Mechanics / Thermodynamics	Book	EBook	N	N	N	N	N						Complete	Y	
345434	Chemical Thermodynamics: Volume 1	Chemical Thermodynamics Volume 1|Chemical Thermodynamics: Volume 1	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847555823	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847555823	Royal Society of Chemistry		M L McGlashan					978-0-85186-253-8	978-1-84755-582-3		N	1973-01-01	1973-12-31							Physical Chemistry|REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / General|SCIENCE / Mechanics / Thermodynamics	Book	EBook	N	N	N	N	N						Complete	Y	
345435	Chemical Thermodynamics: Volume 2	Chemical Thermodynamics Volume 2|Chemical Thermodynamics: Volume 2	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847555830	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847555830	Royal Society of Chemistry		M L McGlashan					978-0-85186-263-7	978-1-84755-583-0		N	1978-01-01	1978-12-31							Physical Chemistry|REFERENCE / Yearbooks & Annuals|SCIENCE / Chemistry / General|SCIENCE / Mechanics / Thermodynamics	Book	EBook	N	N	N	N	N						Complete	Y	
345437	Chemistry and Light	Chemistry and Light	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550439	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550439	Royal Society of Chemistry		Suppan, Paul					978-0-85186-814-1	978-1-84755-043-9		N	1994-01-01	1994-12-31							Physical Chemistry|SCIENCE / Chemistry / Physical & Theoretical	Book	EBook	N	N	N	N	N						Complete	Y	
345439	Chemistry and Mode of Action of Crop Protection Agents	Chemistry and Mode of Action of Crop|Chemistry and Mode of Action of Crop Protection Agents	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550422	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550422	Royal Society of Chemistry		Hewitt, H. G.|Copping, Leonard G.					978-0-85404-559-4	978-1-84755-042-2		N	1998-01-01	1998-12-31							Engineering|TECHNOLOGY & ENGINEERING / Pest Control	Book	EBook	N	N	N	N	N						Complete	Y	
345440	Chemistry in the Oil Industry VII: Performance in a Challenging Environment (Performance in a Challenging Environment)	Chemistry in the Oil Industry VII|Chemistry in the Oil Industry VII: Performance in a Challenging Environment (Performance in a Challenging Environment)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	https://dx.doi.org/10.1039/9781847550460	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/9781847550460	Royal Society of Chemistry		Jack Dunlop|Paul Reid|Harry Frampton|Terry Balson|Graham Payne|Henry A Craddock					978-0-85404-861-8	978-1-84755-046-0		N	2002-01-01	2002-12-31							Science|SCIENCE / Chemistry / Industrial & Technical|TECHNOLOGY & ENGINEERING / Petroleum	Book	EBook	N	N	N	N	N						Complete	Y	
345441	Chemistry of Explosives	Chemistry of Explosives|chemistry of explosives, second edition, The	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552020	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552020	Royal Society of Chemistry		Jacqueline Akhavan					978-0-85404-640-9	978-1-84755-202-0		N	2004-01-01	2004-12-31							Engineering|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
345442	Chemistry of Fireworks, 2nd Edition	Chemistry of Fireworks|Chemistry of Fireworks, 2nd Edition	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847558916	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847558916	Royal Society of Chemistry		Russell, Michael S.					978-0-85404-127-5	978-1-84755-891-6		N	2009-01-01	2009-12-31							Science|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
345443	Chemistry of Fragrances	Chemistry of Fragrances	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552044	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552044	Royal Society of Chemistry		Sell, Charles|Pybus, David					978-0-85404-528-0	978-1-84755-204-4		N	1999-01-01	1999-12-31							Science|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
345444	Chemistry of Fragrances: From Perfumer to Consumer	Chemistry of Fragrances 2|Chemistry of Fragrances: From Perfumer to Consumer	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	https://dx.doi.org/10.1039/9781847555342	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/9781847555342	Royal Society of Chemistry		Sell, Charles	Sell				978-0-85404-824-3	978-1-84755-204-4|978-1-84755-534-2		N	2006-01-01	2006-12-31							Chemistry|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
345445	The Chemistry of Medical and Dental Materials (RSC Materials Monographs)	Chemistry of Medical and Dental Materials|The Chemistry of Medical and Dental Materials (RSC Materials Monographs)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552051	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552051	Royal Society of Chemistry		John W Nicholson					978-0-85404-572-3	978-1-84755-205-1		N	2002-01-01	2002-12-31							Health & Medicine (General)|MEDICAL / Dentistry / General|SCIENCE / Chemistry / General|TECHNOLOGY & ENGINEERING / Materials Science / General	Book	EBook	N	N	N	N	N						Complete	Y	
345446	The Chemistry of Paper (RSC Paperbacks)	Chemistry of Paper|The Chemistry of Paper (RSC Paperbacks)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552068	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552068	Royal Society of Chemistry		Roberts, J. C.					978-0-85404-518-1	978-1-84755-206-8		N	1996-01-01	1996-12-31							Science|TECHNOLOGY & ENGINEERING / Technical & Manufacturing Industries & Trades	Book	EBook	N	N	N	N	N						Complete	Y	
345447	The Chemistry of Photography: From Classical to Digital Technologies	Chemistry of Photography|The Chemistry of Photography: From Classical to Digital Technologies	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	https://dx.doi.org/10.1039/9781847557599	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/9781847557599	Royal Society of Chemistry		David N Rogers					978-0-85404-273-9	978-1-84755-759-9		N	2006-01-01	2006-12-31							Chemistry|PHOTOGRAPHY / Techniques / General|SCIENCE / Chemistry / General|SCIENCE / Chemistry / Industrial & Technical	Book	EBook	N	N	N	N	N						Complete	Y	
345448	Chemistry of Polymers: 2	Chemistry of Polymers 2|Chemistry of Polymers: 2	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552075	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552075	Royal Society of Chemistry		Nicholson, John W.					978-0-85404-558-7|978-0-85404-684-3	978-1-84755-207-5		N	1997-01-01	1997-12-31							Science|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
345449	Chemistry of Polymers (3rd Edition)	Chemistry of Polymers (3rd Edition)|Chemistry of Polymers 3	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552655	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552655	Royal Society of Chemistry		Nicholson, John W.					978-0-85404-684-3	978-1-62870-138-8|978-1-84755-265-5		N	2006-01-01	2006-12-31							Science|SCIENCE / Chemistry / Organic	Book	EBook	N	N	N	N	N						Complete	Y	
345450	Chemometrics in Analytical Spectroscopy	Chemometrics in Analytical Spectroscopy	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550484	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550484	Royal Society of Chemistry		Mike J Adams					978-0-85404-555-6|978-0-85404-595-2	978-1-84755-048-4		N	2004-01-01	2004-12-31							Science|SCIENCE / Chemistry / Analytic|SCIENCE / Spectroscopy & Spectrum Analysis	Book	EBook	N	N	N	N	N						Complete	Y	
345452	Chromatographic Integration Methods	Chromatographic Integration Methods	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550514	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550514	Royal Society of Chemistry		Norman Dyson					978-0-85186-587-4|978-0-85404-510-5|978-1-84973-607-7	978-1-84755-051-4|978-1-84973-727-2		N	1998-01-01	1998-12-31							Science|SCIENCE / Chemistry / Analytic|SCIENCE / Research & Methodology	Book	EBook	N	N	N	N	N						Complete	Y	
345453	Chromatography and Capillary Electrophoresis in Food Analysis	Chromatography and Capillary Electrophoresis in Food Analysis	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550521	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550521	Royal Society of Chemistry		Soren Michaelsen|Charlotte Bjergegaard|Hilmer Sorensen|Susanne Sorensen					978-0-85404-561-7	978-1-84755-052-1		N	1999-01-01	1999-12-31							Health & Medicine (General)|SCIENCE / Chemistry / Analytic|TECHNOLOGY & ENGINEERING / Food Science / General	Book	EBook	N	N	N	N	N						Complete	Y	
345455	Clean Energy	Clean Energy	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550552	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550552	Royal Society of Chemistry		D A J Rand|R M Dell					978-0-85404-546-4	978-1-84755-055-2		N	2004-01-01	2004-12-31							Engineering|SCIENCE / Energy|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
345456	Clean Technology for the Manufacture of Speciality Chemicals	Clean Technology for the Manufacture of Speciality Chemicals	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550576	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550576	Royal Society of Chemistry		W Hoyle|Mike Lancaster					978-0-85404-885-4	978-1-84755-057-6		N	2001-01-01	2001-12-31							Science|SCIENCE / Chemistry / General|SCIENCE / Environmental Science|TECHNOLOGY & ENGINEERING / Chemical & Biochemical	Book	EBook	N	N	N	N	N						Complete	Y	
