KBID	Title	AlternateTitle	PackageName	URL	ProxiedURL	Publisher	Edition	Author	Editor	Illustrator	PrintISSN	OnlineISSN	PrintISBN	OnlineISBN	DOI	PeerReviewed	ManagedCoverageBegin	ManagedCoverageEnd	CustomCoverageBegin	CustomCoverageEnd	CoverageStatement	Embargo	CustomEmbargo	Description	Subject	ResourceType	PackageContentType	CreateCustom	HideOnPublicationFinder	Delete	OrderedThroughEBSCO	IsCustom	UserDefinedField1	UserDefinedField2	UserDefinedField3	UserDefinedField4	UserDefinedField5	PackageType	AllowEbscoToAddNewTitles	
4539	The Analyst	Analyst|The Analyst	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5528/1876	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5528/1876	Royal Society of Chemistry					0003-2654	1364-5528				Y	1876-01-01	Present						Contains urgent communications, full papers and review articles in all areas of cutting edge analytical and bioanalytical science.	Analytical Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
5793	Annual Reports on the Progress of Chemistry Section A: Inorganic Chemistry	Annual Reports on the Progress of Chemistry Section A Inorganic Chemistry|Annual Reports on the Progress of Chemistry Section A: Inorganic Chemistry|Annual reports. A|Inorganic chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4760/1979	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4760/1979	Royal Society of Chemistry					0260-1818	1460-4760				N	1979-01-01	2013-12-31							Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
5794	Annual Reports on the Progress of Chemistry Section B: Organic Chemistry	Annual Reports on the Progress of Chemistry Section B Organic Chemistry|Annual Reports on the Progress of Chemistry Section B: Organic Chemistry|Annual reports on the progress of chemistry. Section B, Organic chemistry /|Organic chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4779/1967	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4779/1967	Royal Society of Chemistry					0069-3030	1460-4779				N	1967-01-01	2013-12-31							Organic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
5795	Annual Reports on the Progress of Chemistry Section C: Physical Chemistry	Annual Reports on the Progress of Chemistry Section C Physical Chemistry|Annual Reports on the Progress of Chemistry Section C: Physical Chemistry|Annual reports. C|Physical chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4787/1979	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4787/1979	Royal Society of Chemistry					0260-1826	1460-4787				Y	1979-01-01	2013-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
16746	Chemical Communications	Chem comm|Chem Commun (Camb)|ChemComm|Chemical Communications|Chemical communications (London)	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-548X/1996	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-548X/1996	Royal Society of Chemistry					1359-7345	1364-548X				Y	1996-01-01	Present						Features communications on important new developments in chemistry.	Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
16811	Chemical Society Reviews	Chem Soc Rev|Chemical society reviews|CSR	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4744/1972	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4744/1972	Royal Society of Chemistry					0306-0012	1460-4744				Y	1972-01-01	Present						Features articles on topics of current interest in the chemical sciences.	Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
21649	CrystEngComm	Cryst eng comm|Crystal engineering communications|CrystEngComm	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1466-8033/1999	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1466-8033/1999	Royal Society of Chemistry						1466-8033				Y	1999-01-01	Present						Contains full papers and communications describing innovative research covering all aspects of crystal engineering.	Crystallography|Engineering	Journal	EJournal	N	N	N	N	N						Variable	N	
22385	Journal of the Chemical Society, Dalton Transactions	Dalton transactions, inorganic chemistry|Inorganic chemistry|J.C.S. Dalton|JCS Dalton|Journal of the Chemical Society Dalton Transactions|Journal of the Chemical Society, Dalton Transactions|Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5447/1972	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5447/1972	Royal Society of Chemistry					0300-9246	1364-5447				Y	1972-01-01	1999-12-31							Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
28452	Faraday Discussions	Faraday Discuss|Faraday Discussions|Faraday discussions of the Chemical Society	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5498/1991	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5498/1991	Royal Society of Chemistry					1359-6640	1364-5498				Y	1991-01-01	Present							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
31613	Green Chemistry	GC|Green Chem|Green Chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1463-9270/1999	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1463-9270/1999	Royal Society of Chemistry					1463-9262	1463-9270				Y	1999-01-01	Present						Presents articles and research covering all aspects of chemistry and related technological issues.	Environmental Sciences	Journal	EJournal	N	N	N	N	N						Variable	N	
38074	Journal of analytical atomic spectrometry	J Anal At Spectrom|JAAS|Journal of analytical atomic spectrometry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5544/1986	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5544/1986	Royal Society of Chemistry					0267-9477	1364-5544				Y	1986-01-01	Present						Concerned with the development and application of spectrometric techniques to elemental analysis.	Analytical Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
41455	Journal of materials chemistry	J Mater Chem|Journal of materials chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5501/1991	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5501/1991	Royal Society of Chemistry					0959-9428	1364-5501				Y	1991-01-01	2012-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
44974	Lab on a Chip - Microfluidic & nanofluidic technologies for chemistry, physics, biology, and bioengineering	Lab Chip|Lab on a chip|Lab on a Chip - Microfluidic & nanofluidic technologies for chemistry, physics, biology, and bioengineering	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1473-0189/2001	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1473-0189/2001	Royal Society of Chemistry					1473-0197	1473-0189				Y	2001-01-01	Present						Concerned with miniaturisation and related research at the micro- and nanoscale.	Nanotechnology	Journal	EJournal	N	N	N	N	N						Variable	N	
50954	Natural product reports : a journal of current developments in bio-organic chemistry	Nat Prod Rep|Natural Product Reports|Natural product reports : a journal of current developments in bio-organic chemistry|Natural product reports a journal of current developments in bio organic chemistry|NPR	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4752/1984	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4752/1984	Royal Society of Chemistry					0265-0568	1460-4752				Y	1984-01-01	Present						Features reviews of the wider context of bioorganic chemistry and chemical biology, including developments in enzymology, nucleic acids, genetics, and more.	Biochemistry|Organic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
51709	New Journal of Chemistry	New J Chem|New Journal of Chemistry|NJC	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1369-9261/1998	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1369-9261/1998	Royal Society of Chemistry					1144-0546	1369-9261				Y	1998-01-01	Present						Covers all branches of chemistry and its sub-disciplines.	Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
56016	Photochemical and Photobiological Sciences	Photochem Photobiol Sci|Photochemical & photobiological sciences|Photochemical and Photobiological Sciences|PPS	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1474-9092/2002	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1474-9092/2002	Springer					1474-905X	1474-9092				Y	2002-01-01	Present						Features photochemical and photobiological research papers.	Biophysics	Journal	EJournal	N	N	N	N	N						Variable	N	
56073	Physical chemistry chemical physics : PCCP	PCCP|Phys Chem Chem Phys|Phys. chem. chem. phys|Physical Chemistry Chemical Physics|Physical chemistry chemical physics : PCCP|Physical chemistry chemical physics PCCP	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1463-9084/1999	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1463-9084/1999	Royal Society of Chemistry					1463-9076	1463-9084				Y	1999-01-01	Present							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
79406	Dalton transactions	Dalton Trans|Dalton transactions	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1477-9234/2003	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1477-9234/2003	Royal Society of Chemistry					1477-9226	1477-9234				Y	2003-01-01	Present						Contains papers on all aspects of the chemistry of inorganic and organometallic compounds.	Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
80373	Organic & Biomolecular Chemistry	OBC|Org Biomol Chem|Organic & Biomolecular Chemistry|Organic and biomolecular chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1477-0539/2003	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1477-0539/2003	Royal Society of Chemistry					1477-0520	1477-0539				Y	2003-01-01	Present							Biochemistry|Organic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
101853	Issues in Environmental Science and Technology	Issues in Environmental Science and Technology	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1350-7583	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1350-7583	Royal Society of Chemistry					1350-7583	1465-1874				N	1994-01-01	Present							Ecology	Journal	EJournal	N	N	N	N	N						Variable	N	
125402	Journal of the Chemical Society, Dalton Transactions	Dalton|Dalton an international journal of organic chemistry|Dalton transactions|Journal of the Chemical Society|Journal of the Chemical Society, Dalton Transactions|Journal of the Chemical Society. Dalton Transactions	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5447/2000	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5447/2000	Royal Society of Chemistry					1470-479X	2050-8220				Y	2000-01-01	2000-12-31							Organic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
157282	Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry	Annual Reports on the Progress of Chemistry Section A Physical and Inorganic Chemistry|Annual Reports on the Progress of Chemistry, Section A: Physical and Inorganic Chemistry|Annual reports on the progress of chemistry. Section A, Physical and inorganic chemistry|Annual reports. A	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/0308-6003/1973	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/0308-6003/1973	Royal Society of Chemistry					0308-6003	1754-7539				Y	1973-01-01	1978-12-31							Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
157283	Annual Reports on the Progress of Chemistry, Section A: General Physical and Inorganic Chemistry	Annual reports|Annual Reports on the Progress of Chemistry Section A General Physical and Inorganic Chemistry|Annual Reports on the Progress of Chemistry, Section A: General Physical and Inorganic Chemistry|Annual reports on the progress of chemistry. Section A, General, physical, and inorganic chemistry /	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/0069-3022/1967	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/0069-3022/1967	Royal Society of Chemistry					0069-3022	1754-7520				Y	1967-01-01	1972-12-31							Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
157289	Discussions of the Faraday Society	Discuss Faraday Soc|Discussions of the Faraday Society	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/0366-9033/1947	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/0366-9033/1947	Royal Society of Chemistry					0366-9033	1754-7679				Y	1947-01-01	1971-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
157290	Special Discussions of the Faraday Society	Special Discussions of the Faraday Society	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/0370-9302/1970	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/0370-9302/1970	Royal Society of Chemistry					0370-9302					Y	1970-01-01	1970-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
157299	Faraday Discussions of the Chemical Society	Faraday Discuss Chem Soc|Faraday discussions|Faraday Discussions of the Chemical Society|Faraday discussions of the Royal Society of Chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/0301-7249/1972	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/0301-7249/1972	Royal Society of Chemistry					0301-7249	2050-8417				Y	1972-01-01	1991-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
182739	Soft Matter	Soft Matter	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1744-6848/2005	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1744-6848/2005	Royal Society of Chemistry					1744-683X	1744-6848				N	2005-01-01	Present							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
182787	Molecular BioSystems	Mol Biosyst|Molecular BioSystems	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1742-2051/2005	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1742-2051/2005	Royal Society of Chemistry					1742-206X	1742-2051				Y	2005-01-01	2017-12-31						This title has ceased publication, therefore EBSCO is unable to acquire any missing content.	Life Sciences	Journal	EJournal	N	N	N	N	N						Variable	N	
1158058	Journal of the Chemical Society, Dalton Transactions (2001)	Journal of the Chemical Society, Dalton Transactions (2001)	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5447/2001	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5447/2001	Royal Society of Chemistry					1472-7773	1364-5447				Y	2001-01-01	2002-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
1438330	Journal of Materials Chemistry - A - Materials for Energy and Sustainability	J Mater Chem A Mater|J Mater Chem A Mater Energy Sustain|Journal of Materials Chemistry - A - Materials for Energy and Sustainability	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/2050-7496/2013	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/2050-7496/2013	Royal Society of Chemistry					2050-7488	2050-7496				Y	2013-01-01	Present							Materials Engineering	Journal	EJournal	N	N	N	N	N						Variable	N	
1750142	Journal of Materials Chemistry B: Materials for Biology and Medicine	J Mater Chem B|J Mater Chem B Mater Biol Med|Journal of Materials Chemistry B: Materials for Biology and Medicine	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/2050-7518/2013	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/2050-7518/2013	Royal Society of Chemistry					2050-750X	2050-7518				Y	2013-01-01	Present							Civil Engineering	Journal	EJournal	N	N	N	N	N						Variable	N	
1750144	Journal of Materials Chemistry C: Materials for Optical and Electronic Devices	J Mater Chem C Mater|J Mater Chem C Mater Opt Electron Devices|Journal of Materials Chemistry C: Materials for Optical and Electronic Devices|Materials for optical and electronic devices	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/2050-7534/2013	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/2050-7534/2013	Royal Society of Chemistry					2050-7526	2050-7534				Y	2013-01-01	Present							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
101853	Issues in Environmental Science and Technology	Issues in Environmental Science and Technology	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://pubs.rsc.org/en/ebooks#!key=series-title&value=issues-in-environmental-science-and-technology	http://proxy.unice.fr/login?url=http://pubs.rsc.org/en/ebooks#!key=series-title&value=issues-in-environmental-science-and-technology	Royal Society of Chemistry					1350-7583	1465-1874				N									Ecology	Journal	EBook	N	N	N	N	N						Complete	Y	
102718	Air Quality Management (Issues in Environmental Science and Technology)	Air quality management|Air Quality Management (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550101	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550101	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-235-7	978-1-59124-421-9|978-1-84755-010-1		N	1997-01-01	1997-12-31							Pollution Control & Waste Management|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
203144	Agricultural Chemicals and the Environment (Issues in Environmental Science and Technology)	Agricultural Chemicals and the Environment|Agricultural Chemicals and the Environment (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550088	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550088	Royal Society of Chemistry		R M Harrison|R E Hester					978-0-85404-220-3	978-1-59124-412-7|978-1-84755-008-8		N	1996-01-01	1996-12-31							Chemistry|Environmental Sciences|SCIENCE / Environmental Science|TECHNOLOGY & ENGINEERING / Agriculture / General	Book	EBook	N	N	N	N	N						Complete	Y	
203148	Air Pollution and Health	Air Pollution and Health	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550095	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550095	Royal Society of Chemistry		R M Harrison|R E Hester					978-0-85404-245-6	978-1-59124-423-3|978-1-84755-009-5		N	1998-01-01	1998-12-31							Air Pollution|Public Health|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
203187	Applications of Hydrogen Peroxide and Derivatives	Applications of Hydrogen Peroxide and Derivatives	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550132	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550132	Royal Society of Chemistry		C W Jones					978-0-85404-536-5	978-0-85404-536-5|978-1-59124-918-4|978-1-84755-013-2		N	1999-01-01	1999-12-31							Chemistry|SCIENCE / Chemistry / Industrial & Technical|SCIENCE / Chemistry / Organic	Book	EBook	N	N	N	N	N						Complete	Y	
203194	Assessment and Reclamation of Contaminated Land	Assessment and Reclamation of Contaminated Land	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550170	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550170	Royal Society of Chemistry		R E Hester|R M Harrison	R. E. Hester				978-0-85404-275-3	978-1-59124-419-6|978-1-84755-017-0		N	2001-01-01	2001-12-31							Law|SCIENCE / Environmental Science|Soil Sciences|TECHNOLOGY & ENGINEERING / Environmental / General|TECHNOLOGY & ENGINEERING / Surveying	Book	EBook	N	N	N	N	N						Complete	Y	
203225	Causes and Environmental Implications of Increased UV-B Radiation (Issues in Environmental Science and Technology)	Causes and Environmental Implications of Increased UV B Radiation|Causes and Environmental Implications of Increased UV-B Radiation (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550354	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550354	Royal Society of Chemistry		Harrison, Roy M.|Hester, R. E.					978-0-85404-265-4	978-1-59124-426-4|978-1-84755-035-4		N	2000-01-01	2000-12-31							Environmental Sciences|SCIENCE / Environmental Science|SCIENCE / Radiation	Book	EBook	N	N	N	N	N						Complete	Y	
203243	Chemistry in the Marine Environment	Chemistry in the Marine Environment	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550453	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550453	Royal Society of Chemistry		R M Harrison|R E Hester					978-0-85404-260-9	978-1-59124-411-0|978-1-84755-045-3		N	2000-01-01	2000-12-31							Chemistry|Oceanography|SCIENCE / Chemistry / General|SCIENCE / Environmental Science|SCIENCE / Life Sciences / Marine Biology	Book	EBook	N	N	N	N	N						Complete	Y	
203248	Chlorinated Organic Micropollutants	Chlorinated Organic Micropollutants	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550491	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550491	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-225-8	978-1-59124-418-9|978-1-84755-049-1		N	1995-01-01	1995-12-31							Organic Chemistry|SCIENCE / Chemistry / Organic|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
203251	Clean Synthesis Using Porous Inorganic Solid Catalysts and Supported Reagents (RSC Clean Technology Monographs)	Clean Synthesis using Porous Inorganic Solid Catalysts and Supported Reagents|Clean Synthesis Using Porous Inorganic Solid Catalysts and Supported Reagents (RSC Clean Technology Monographs)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550569	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550569	Royal Society of Chemistry		James H Clark|Chris N Rhodes					978-0-85404-526-6	978-0-85404-526-6|978-1-59124-920-7|978-1-84755-056-9		N	2000-01-01	2000-12-31							Organic Chemistry|SCIENCE / Chemistry / General	Book	EBook	N	N	N	N	N						Complete	Y	
203271	Contaminated Land and Its Reclamation (Issues in Environmental Science and Technology)	Contaminated Land and Its Reclamation|Contaminated Land and Its Reclamation (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550637	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550637	Royal Society of Chemistry		R M Harrison|R E Hester					978-0-7277-2595-0|978-0-85404-230-2	978-1-59124-420-2|978-1-84755-063-7		N	1997-01-01	1997-12-31							Environmental Sciences|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
203350	Endocrine Disrupting Chemicals	Endocrine Disrupting Chemicals	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550743	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550743	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-255-5	978-1-59124-413-4|978-1-84755-074-3		N	1999-01-01	1999-12-31							Endocrinology|SCIENCE / Environmental Science|SCIENCE / Life Sciences / Biochemistry	Book	EBook	N	N	N	N	N						Complete	Y	
203362	Environmental and Health Impact of Solid Waste Management Activities (Issues in Environmental Science and Technology)	Environmental and Health Impact of Solid Waste Management Activities|Environmental and Health Impact of Solid Waste Management Activities (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550767	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550767	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-285-2	978-1-59124-538-4|978-1-84755-076-7		N	2002-01-01	2002-12-31							Pollution Control & Waste Management|SCIENCE / Chemistry / Organic|SCIENCE / Environmental Science|TECHNOLOGY & ENGINEERING / Environmental / General	Book	EBook	N	N	N	N	N						Complete	Y	
203366	Environmental Impact of Power Generation (Issues in Environmental Science and Technology)	Environmental Impact of Power Generation|Environmental Impact of Power Generation (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550774	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550774	Royal Society of Chemistry		R M Harrison|R E Hester					978-0-85404-250-0	978-1-59124-425-7|978-1-84755-077-4		N	1999-01-01	1999-12-31							Environmental Sciences|SCIENCE / Chemistry / General|SCIENCE / Energy|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
203381	Feedstock Recycling of Plastic Wastes (RSC Clean Technology Monographs)	Feedstock Recycling of Plastic Wastes|Feedstock Recycling of Plastic Wastes (RSC Clean Technology Monographs)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550804	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550804	Royal Society of Chemistry		David P Serrano|Jose Aguado					978-0-85404-531-0	978-1-59124-904-7|978-1-84755-080-4		N	1999-01-01	1999-12-31							Hazardous Waste Management|Plastics Industry & Trade|SCIENCE / Chemistry / Industrial & Technical|SCIENCE / Chemistry / Organic|TECHNOLOGY & ENGINEERING / Environmental / General	Book	EBook	N	N	N	N	N						Complete	Y	
203422	Food Safety and Food Quality (Issues in Environmental Science and Technology)	Food Safety and Food Quality|Food Safety and Food Quality (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847550897	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847550897	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-270-8	978-1-59124-427-1|978-1-84755-089-7		N	2001-01-01	2001-12-31							Food Safety|SCIENCE / Environmental Science|TECHNOLOGY & ENGINEERING / Food Science / General	Book	EBook	N	N	N	N	N						Complete	Y	
203697	Mining and Its Environmental Impact (Issues in Environmental Science and Technology)	Mining and Its Environmental Impact|Mining and Its Environmental Impact (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847551467	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847551467	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-200-5	978-1-59124-414-1|978-1-84755-146-7		N	1994-01-01	1994-12-31							Environmental Sciences|Mining & Mineral Resources|SCIENCE / Chemistry / General|SCIENCE / Environmental Science|TECHNOLOGY & ENGINEERING / Mining	Book	EBook	N	N	N	N	N						Complete	Y	
203854	Risk Assessment and Risk Management (Issues in Environmental Science and Technology)	Risk Assessment and Risk Management|Risk Assessment and Risk Management (Issues in Environmental Science and Technology)	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847551849	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847551849	Royal Society of Chemistry		R E Hester|R M Harrison					978-0-85404-240-1	978-1-59124-422-6|978-1-84755-184-9		N	1998-01-01	1998-12-31							Environmental Sciences|SCIENCE / Chemistry / General|TECHNOLOGY & ENGINEERING / Environmental / General	Book	EBook	N	N	N	N	N						Complete	Y	
203902	Sulfur Problem - Cleaning up Industrial Feedstocks	Sulfur Problem - Cleaning up Industrial Feedstocks|Sulfur Problem Cleaning up Industrial Feedstocks	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847552174	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847552174	Royal Society of Chemistry		Diane Stirling					978-0-85404-541-9	978-1-59124-914-6|978-1-84755-217-4		N	2000-01-01	2000-12-31							Chemistry|SCIENCE / Chemistry / Industrial & Technical	Book	EBook	N	N	N	N	N						Complete	Y	
203910	Sustainability and Environmental Impact of Renewable Energy Sources	Sustainability and Environmental Impact of Renewable Energy Sources	Royal Society of Chemistry eBooks (ISTEX - Licences Nationales)	http://dx.doi.org/10.1039/9781847551986	http://proxy.unice.fr/login?url=http://dx.doi.org/10.1039/9781847551986	Royal Society of Chemistry		R M Harrison|R E Hester					978-0-85404-290-6	978-1-59124-915-3|978-1-84755-198-6		N	2003-01-01	2003-12-31							Environmental Sciences|Renewable Energy|SCIENCE / Chemistry / General|SCIENCE / Energy|SCIENCE / Environmental Science	Book	EBook	N	N	N	N	N						Complete	Y	
